date,category,amount,description
2026-03-01,Food,120.5,Сільпо (продукти)
2026-03-02,Food,450.0,Вечеря з Expirenza
2026-03-02,Transport,500.0,Окко (Pulls 95)
2026-03-03,Rent,12000.0,Оплата житла
2026-03-04,Entertainment,300.0,Планета Кіно (Дюна 3)
2026-03-05,Food,85.0,Кава в Idealist
2026-03-06,Health,640.0,Аптека Доброго Дня
2026-03-07,Transport,120.0,Uklon до вокзалу
2026-03-08,Entertainment,1500.0,Квіти та подарунки
2026-03-09,Health,2200.0,Стоматологія (чистка)
2026-03-10,Food,320.0,Новус (продукти)
2026-03-11,Subscriptions,199.0,YouTube Premium
2026-03-13,Food,1.0,string
